job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,posting_date,application_deadline,company_name,industry,benefits_score
Data Scientist,155210,Senior-Level,Part-Time,AUSTRALIA,Large,on-site,"spark, nlp, aws",Master,7,24-01-2025,18-03-2025,Neural Networks Co,Energy,9.7
Data Engineer,96699,Senior-Level,Full-Time,AUSTRALIA,Small,on-site,"gcp, linux, mathematics",PhD,5,29-03-2025,13-04-2025,TechCorp Inc,Technology,9.7
Ai Software Engineer,161477,Senior-Level,Full-Time,FRANCE,Large,Hybrid,"mathematics, spark, linux",Bachelor,8,04-02-2025,03-03-2025,DataVision Ltd,Real Estate,9.5
Ai Software Engineer,276912.875,Executive-Level,Contract,DENMARK,Large,Hybrid,"data visualization, azure, statistics",PhD,18,29-04-2025,21-06-2025,Autonomous Tech,Transportation,7.6
Ml Ops Engineer,62089,Mid-Level,Contract,CANADA,Small,Hybrid,"python, gcp, linux, sql, deep learning",PhD,3,18-03-2024,25-04-2024,Predictive Systems,Media,9.7
Principal Data Scientist,77985,Entry-Level,Contract,DENMARK,Small,on-site,"sql, tensorflow, computer vision, kubernetes",Associate,0,07-03-2025,03-04-2025,Neural Networks Co,Automotive,9.4
Robotics Engineer,55315,Entry-Level,Part-Time,AUSTRIA,Small,on-site,"spark, deep learning, sql, nlp, python",PhD,0,09-01-2025,22-03-2025,Future Systems,Media,9.5
Ai Architect,246647,Executive-Level,Part-Time,SINGAPORE,Medium,Hybrid,"scala, mathematics, sql",Master,16,08-08-2024,26-08-2024,DeepTech Ventures,Telecommunications,6.6
Deep Learning Engineer,29050,Entry-Level,Full-Time,CHINA,Small,on-site,"pytorch, kubernetes, deep learning, hadoop",Associate,1,06-02-2025,19-03-2025,AI Innovations,Consulting,5.2
Head Of Ai,120599,Mid-Level,Contract,UNITED KINGDOM,Large,Hybrid,"linux, aws, python",Master,4,21-09-2024,07-11-2024,Quantum Computing Inc,Energy,6.4
Ai Specialist,276912.875,Executive-Level,Part-Time,SINGAPORE,Large,Hybrid,"python, git, tensorflow",Associate,13,04-10-2024,05-11-2024,Future Systems,Healthcare,9
Data Engineer,158734,Executive-Level,Part-Time,CANADA,Small,Hybrid,"data visualization, nlp, computer vision",Master,16,20-05-2024,29-07-2024,Future Systems,Retail,6.2
Data Engineer,139438,Senior-Level,Freelance,JAPAN,Large,on-site,"python, spark, git, data visualization, docker",PhD,9,16-03-2025,12-05-2025,Cognitive Computing,Retail,9.9
Head Of Ai,131432,Senior-Level,Part-Time,SINGAPORE,Medium,Hybrid,"kubernetes, data visualization, deep learning, azure, computer vision",Master,5,03-05-2024,15-07-2024,Cognitive Computing,Manufacturing,5.3
Data Analyst,140290,Mid-Level,Part-Time,DENMARK,Large,Hybrid,"pytorch, sql, r, azure",Associate,4,18-07-2024,26-09-2024,DeepTech Ventures,Real Estate,5.7
Research Scientist,90858,Mid-Level,Contract,FRANCE,Large,Hybrid,"scala, pytorch, deep learning, kubernetes, java",Bachelor,2,13-08-2024,13-09-2024,DataVision Ltd,Real Estate,7.1
Autonomous Systems Engineer,126597,Senior-Level,Freelance,UNITED KINGDOM,Large,Hybrid,"pytorch, java, tensorflow, computer vision, sql",Master,6,30-03-2024,13-04-2024,Machine Intelligence Group,Government,7.8
Ai Architect,53274,Entry-Level,Freelance,FINLAND,Medium,Fully remote,"spark, python, statistics, hadoop, tensorflow",Associate,0,22-03-2025,12-04-2025,Autonomous Tech,Automotive,6
Machine Learning Researcher,155357,Executive-Level,Freelance,SWEDEN,Small,Fully remote,"tensorflow, sql, computer vision, kubernetes",Bachelor,17,11-12-2024,01-01-2025,Cloud AI Solutions,Real Estate,5.2
Principal Data Scientist,116292,Mid-Level,Freelance,NETHERLANDS,Medium,Hybrid,"java, docker, python",Bachelor,4,28-07-2024,06-09-2024,Quantum Computing Inc,Gaming,7.9
Computer Vision Engineer,140363,Senior-Level,Contract,AUSTRIA,Large,Fully remote,"mlops, hadoop, tensorflow, kubernetes",Master,6,31-01-2025,06-04-2025,TechCorp Inc,Manufacturing,9.8
Research Scientist,162306,Senior-Level,Contract,ISRAEL,Large,on-site,"statistics, sql, tableau, hadoop, r",Master,9,12-11-2024,08-12-2024,Neural Networks Co,Energy,5.6
Data Analyst,134224,Executive-Level,Full-Time,CHINA,Large,on-site,"python, sql, git",Master,16,13-10-2024,15-11-2024,Quantum Computing Inc,Technology,6.6
Research Scientist,77500,Mid-Level,Contract,UNITED KINGDOM,Small,on-site,"mathematics, hadoop, tensorflow",PhD,3,20-08-2024,29-10-2024,Machine Intelligence Group,Technology,10
Computer Vision Engineer,154083,Senior-Level,Part-Time,IRELAND,Large,Hybrid,"hadoop, python, deep learning",Associate,7,09-01-2024,16-02-2024,Neural Networks Co,Manufacturing,7.7
Machine Learning Engineer,79445,Mid-Level,Freelance,IRELAND,Medium,Hybrid,"python, statistics, tensorflow, computer vision",Bachelor,4,28-09-2024,16-10-2024,Cloud AI Solutions,Real Estate,7.2
Head Of Ai,157466,Senior-Level,Freelance,SWITZERLAND,Medium,Fully remote,"git, data visualization, spark, computer vision, azure",Associate,8,21-01-2024,03-03-2024,Future Systems,Automotive,5.2
Head Of Ai,38972,Mid-Level,Full-Time,INDIA,Large,on-site,"kubernetes, mathematics, tensorflow, mlops",PhD,4,28-01-2024,09-03-2024,AI Innovations,Real Estate,7.1
Deep Learning Engineer,66090,Mid-Level,Part-Time,CANADA,Small,on-site,"aws, sql, r, scala",PhD,3,10-04-2025,29-04-2025,DeepTech Ventures,Technology,5.3
Data Analyst,47943,Mid-Level,Part-Time,CHINA,Large,Hybrid,"tensorflow, mathematics, nlp, docker",PhD,2,23-11-2024,13-01-2025,Smart Analytics,Finance,6.2
Ml Ops Engineer,217318,Executive-Level,Part-Time,IRELAND,Medium,Fully remote,"sql, pytorch, hadoop",Bachelor,17,14-11-2024,22-12-2024,Cognitive Computing,Finance,7.8
Ai Architect,84705,Mid-Level,Contract,NORWAY,Small,Hybrid,"scala, spark, pytorch",PhD,3,19-12-2024,11-01-2025,Autonomous Tech,Government,6.6
Nlp Engineer,36076,Senior-Level,Full-Time,INDIA,Medium,Hybrid,"python, tensorflow, data visualization",Master,7,14-08-2024,23-09-2024,Cognitive Computing,Media,7.5
Ai Consultant,160216,Executive-Level,Full-Time,ISRAEL,Large,Fully remote,"deep learning, linux, python, sql",Master,15,09-05-2024,29-05-2024,Predictive Systems,Education,6
Deep Learning Engineer,60826,Entry-Level,Full-Time,UNITED KINGDOM,Small,on-site,"sql, kubernetes, azure",Bachelor,0,02-11-2024,30-11-2024,Autonomous Tech,Energy,6.3
Deep Learning Engineer,237320,Executive-Level,Part-Time,UNITED KINGDOM,Medium,on-site,"kubernetes, mlops, scala",Bachelor,16,12-11-2024,28-12-2024,DataVision Ltd,Real Estate,7.7
Robotics Engineer,60243,Entry-Level,Freelance,FRANCE,Medium,Fully remote,"scala, pytorch, data visualization, linux, mathematics",Master,1,05-12-2024,20-12-2024,Future Systems,Healthcare,8.8
Head Of Ai,74091,Entry-Level,Part-Time,JAPAN,Medium,Hybrid,"deep learning, nlp, r, linux, sql",Bachelor,1,18-01-2025,23-03-2025,Quantum Computing Inc,Consulting,7.2
Ai Specialist,68535,Entry-Level,Full-Time,FRANCE,Large,Fully remote,"sql, scala, pytorch",Associate,1,01-05-2024,17-06-2024,Machine Intelligence Group,Media,5.5
Robotics Engineer,99401,Mid-Level,Freelance,NORWAY,Small,Hybrid,"hadoop, kubernetes, data visualization, python, linux",Bachelor,3,20-03-2024,20-04-2024,Quantum Computing Inc,Healthcare,9.4
Machine Learning Researcher,67632,Entry-Level,Full-Time,IRELAND,Large,on-site,"linux, gcp, deep learning",Master,0,13-07-2024,10-08-2024,Advanced Robotics,Government,8.9
Ml Ops Engineer,133163,Senior-Level,Contract,NETHERLANDS,Medium,on-site,"sql, statistics, mlops, pytorch, kubernetes",Associate,6,03-01-2025,21-01-2025,Neural Networks Co,Media,7.9
Robotics Engineer,125752,Mid-Level,Full-Time,NORWAY,Small,on-site,"nlp, statistics, scala",Master,4,17-05-2024,24-06-2024,Machine Intelligence Group,Automotive,6
Ai Product Manager,70927,Entry-Level,Contract,JAPAN,Medium,on-site,"git, computer vision, docker, sql, hadoop",Associate,1,07-03-2024,05-04-2024,Quantum Computing Inc,Technology,9.3
Data Engineer,80810,Entry-Level,Part-Time,UNITED KINGDOM,Large,on-site,"azure, mlops, python, linux, tensorflow",Master,1,30-10-2024,01-01-2025,Algorithmic Solutions,Energy,5.4
Machine Learning Engineer,59614,Entry-Level,Contract,SINGAPORE,Small,Fully remote,"java, kubernetes, gcp, linux, data visualization",Associate,1,07-11-2024,19-12-2024,Quantum Computing Inc,Healthcare,7.3
Robotics Engineer,151907,Executive-Level,Full-Time,GERMANY,Small,Hybrid,"python, r, mlops",Associate,16,21-09-2024,16-10-2024,Quantum Computing Inc,Media,6.1
Data Scientist,76317,Executive-Level,Contract,INDIA,Medium,on-site,"tensorflow, deep learning, spark",Bachelor,14,19-06-2024,15-07-2024,DataVision Ltd,Energy,9.1
Ai Research Scientist,160534,Senior-Level,Freelance,DENMARK,Medium,Fully remote,"gcp, sql, mlops",Master,9,10-06-2024,07-07-2024,Advanced Robotics,Gaming,8.3
Ai Consultant,40687,Mid-Level,Full-Time,INDIA,Large,Hybrid,"sql, r, gcp, pytorch, aws",Master,3,16-07-2024,25-08-2024,Algorithmic Solutions,Transportation,7.3
Computer Vision Engineer,129265,Senior-Level,Freelance,AUSTRALIA,Small,on-site,"java, scala, tensorflow",Master,5,06-04-2025,07-05-2025,DataVision Ltd,Consulting,6.9
Nlp Engineer,94396,Executive-Level,Part-Time,CHINA,Medium,Fully remote,"scala, python, tableau, mathematics",Master,18,30-07-2024,18-08-2024,Advanced Robotics,Government,9.5
Nlp Engineer,158237,Executive-Level,Contract,SOUTH KOREA,Large,on-site,"python, nlp, gcp",Master,11,24-01-2025,29-03-2025,Quantum Computing Inc,Finance,6
Robotics Engineer,239068,Executive-Level,Part-Time,DENMARK,Large,Hybrid,"tensorflow, java, nlp, hadoop, gcp",PhD,18,26-08-2024,30-10-2024,Autonomous Tech,Media,6.8
Robotics Engineer,81401,Mid-Level,Freelance,FINLAND,Medium,on-site,"java, spark, data visualization, aws, git",Associate,2,07-02-2025,11-04-2025,Future Systems,Retail,6.3
Ai Specialist,144229,Mid-Level,Full-Time,SWITZERLAND,Medium,on-site,"python, tensorflow, mlops, pytorch",PhD,2,02-01-2024,02-03-2024,DeepTech Ventures,Media,9.5
Ai Consultant,78936,Mid-Level,Freelance,GERMANY,Small,on-site,"mathematics, tableau, r, nlp, sql",Bachelor,4,30-11-2024,03-01-2025,Cloud AI Solutions,Consulting,6.9
Ai Consultant,101054,Senior-Level,Part-Time,SOUTH KOREA,Large,on-site,"pytorch, python, tensorflow",Bachelor,6,04-02-2025,20-03-2025,DeepTech Ventures,Healthcare,8.8
Ai Specialist,91807,Senior-Level,Full-Time,AUSTRIA,Small,Hybrid,"linux, azure, scala, python",Master,9,21-07-2024,13-09-2024,TechCorp Inc,Education,8.3
Machine Learning Engineer,49858,Entry-Level,Contract,AUSTRIA,Small,Fully remote,"pytorch, spark, linux",Bachelor,1,25-01-2024,02-04-2024,AI Innovations,Healthcare,9.2
Robotics Engineer,80596,Entry-Level,Full-Time,AUSTRIA,Large,on-site,"kubernetes, scala, pytorch, mathematics",Master,1,27-06-2024,26-08-2024,Digital Transformation LLC,Education,6.8
Head Of Ai,76026,Mid-Level,Full-Time,SWEDEN,Medium,Hybrid,"tableau, sql, r, scala",PhD,4,12-02-2025,24-03-2025,Predictive Systems,Healthcare,8
Deep Learning Engineer,84841,Mid-Level,Contract,SWEDEN,Large,on-site,"azure, linux, tensorflow, gcp",Associate,4,18-11-2024,05-01-2025,Cognitive Computing,Transportation,5.7
Data Scientist,158900,Senior-Level,Freelance,SWITZERLAND,Medium,Hybrid,"python, statistics, mathematics, docker, tensorflow",Associate,8,14-06-2024,05-07-2024,Quantum Computing Inc,Finance,6
Autonomous Systems Engineer,153858,Executive-Level,Contract,GERMANY,Small,Hybrid,"mlops, azure, java",Master,13,29-04-2025,21-06-2025,Cloud AI Solutions,Gaming,5.1
Data Scientist,115314,Mid-Level,Contract,DENMARK,Medium,on-site,"java, git, r, azure",Bachelor,3,01-06-2024,27-06-2024,Smart Analytics,Real Estate,7.9
Machine Learning Engineer,181068,Executive-Level,Full-Time,ISRAEL,Small,Fully remote,"r, java, hadoop, mathematics",PhD,13,26-01-2024,25-03-2024,Machine Intelligence Group,Transportation,8.5
Ai Software Engineer,119021,Entry-Level,Full-Time,DENMARK,Large,on-site,"computer vision, docker, linux, gcp",PhD,1,07-03-2025,10-05-2025,DataVision Ltd,Transportation,7.3
Data Analyst,219746,Executive-Level,Freelance,ISRAEL,Medium,Fully remote,"r, python, scala, tensorflow",PhD,15,02-07-2024,12-09-2024,Smart Analytics,Finance,7
Ai Consultant,115774,Executive-Level,Freelance,CHINA,Large,Hybrid,"hadoop, scala, nlp, pytorch, sql",Associate,10,04-02-2024,09-03-2024,DataVision Ltd,Real Estate,5.3
Ai Consultant,130984,Entry-Level,Part-Time,SWITZERLAND,Large,Hybrid,"mlops, deep learning, kubernetes, azure, gcp",Bachelor,1,08-01-2024,20-03-2024,DataVision Ltd,Retail,5.3
Ml Ops Engineer,191223,Executive-Level,Full-Time,SWITZERLAND,Small,on-site,"nlp, azure, sql",PhD,18,07-04-2024,07-06-2024,Neural Networks Co,Healthcare,6.8
Ai Consultant,155502,Senior-Level,Full-Time,NORWAY,Medium,Hybrid,"python, nlp, aws, spark",PhD,9,29-01-2025,22-02-2025,Future Systems,Consulting,7.6
Ai Specialist,86140,Mid-Level,Part-Time,GERMANY,Large,Hybrid,"scala, kubernetes, deep learning, aws",Master,4,11-03-2025,12-04-2025,Predictive Systems,Real Estate,7.3
Ai Architect,96028,Mid-Level,Freelance,UNITED KINGDOM,Large,on-site,"data visualization, mlops, gcp, pytorch",Bachelor,4,09-03-2025,28-03-2025,Future Systems,Healthcare,6.6
Principal Data Scientist,134920,Senior-Level,Part-Time,UNITED STATES,Small,on-site,"sql, mathematics, data visualization, kubernetes",Associate,7,03-04-2025,12-05-2025,Predictive Systems,Consulting,6.7
Research Scientist,107694,Senior-Level,Freelance,IRELAND,Medium,Hybrid,"spark, linux, mlops, r",Associate,5,20-03-2024,22-04-2024,Future Systems,Retail,5.1
Deep Learning Engineer,114301,Mid-Level,Full-Time,FINLAND,Large,on-site,"tableau, mlops, python",Bachelor,4,08-02-2025,05-03-2025,Digital Transformation LLC,Real Estate,7.5
Machine Learning Researcher,92728,Mid-Level,Full-Time,UNITED KINGDOM,Large,on-site,"nlp, git, kubernetes, azure",Bachelor,4,25-12-2024,05-02-2025,Cognitive Computing,Transportation,9.3
Nlp Engineer,76826,Entry-Level,Part-Time,SINGAPORE,Medium,Hybrid,"git, r, statistics, pytorch, deep learning",Bachelor,1,08-04-2025,10-05-2025,Predictive Systems,Government,7.4
Ai Consultant,48870,Senior-Level,Part-Time,INDIA,Large,on-site,"hadoop, java, azure, spark, statistics",Associate,7,26-03-2025,16-05-2025,Cognitive Computing,Healthcare,5.6
Data Scientist,89527,Mid-Level,Full-Time,AUSTRALIA,Large,Hybrid,"linux, azure, sql, r, java",Master,4,09-12-2024,30-12-2024,Predictive Systems,Finance,5.8
Autonomous Systems Engineer,81103,Entry-Level,Contract,AUSTRALIA,Large,on-site,"mathematics, sql, kubernetes",Master,0,26-05-2024,07-08-2024,Digital Transformation LLC,Media,7
Machine Learning Engineer,276912.875,Executive-Level,Contract,DENMARK,Large,on-site,"python, tensorflow, mlops, data visualization",Associate,13,10-03-2025,11-05-2025,Smart Analytics,Healthcare,5.1
Ai Product Manager,104906,Mid-Level,Freelance,UNITED STATES,Small,Hybrid,"pytorch, java, spark, statistics",Bachelor,3,26-01-2025,28-03-2025,Cognitive Computing,Technology,8
Ai Software Engineer,231496,Executive-Level,Part-Time,FINLAND,Large,Hybrid,"tableau, r, kubernetes",Master,18,13-02-2025,10-04-2025,DataVision Ltd,Automotive,5.5
Robotics Engineer,147402,Senior-Level,Full-Time,JAPAN,Large,Fully remote,"azure, gcp, scala, r, python",Bachelor,8,11-12-2024,01-02-2025,Algorithmic Solutions,Automotive,7
Data Scientist,69331,Entry-Level,Full-Time,AUSTRIA,Large,Fully remote,"aws, git, nlp, java, computer vision",Master,1,11-04-2025,21-05-2025,AI Innovations,Healthcare,8.8
Ai Consultant,215842,Executive-Level,Contract,FRANCE,Small,on-site,"deep learning, tensorflow, spark, python",Bachelor,12,19-12-2024,28-01-2025,Machine Intelligence Group,Healthcare,6.7
Data Scientist,79833,Senior-Level,Part-Time,SOUTH KOREA,Small,on-site,"java, sql, pytorch, tensorflow, aws",PhD,6,04-01-2024,18-01-2024,Predictive Systems,Healthcare,5.7
Data Scientist,276912.875,Executive-Level,Full-Time,NORWAY,Large,Fully remote,"linux, sql, mathematics",Bachelor,15,22-03-2025,05-05-2025,Advanced Robotics,Media,6
Research Scientist,112217,Senior-Level,Contract,GERMANY,Small,on-site,"spark, scala, azure",Associate,8,07-03-2025,23-04-2025,Digital Transformation LLC,Technology,10
Head Of Ai,45738,Entry-Level,Freelance,SOUTH KOREA,Medium,Fully remote,"tensorflow, hadoop, spark",Associate,0,17-03-2024,05-04-2024,DeepTech Ventures,Manufacturing,9.5
Machine Learning Researcher,195309,Executive-Level,Part-Time,GERMANY,Small,Hybrid,"sql, tableau, pytorch, nlp",Bachelor,18,14-12-2024,23-02-2025,DeepTech Ventures,Consulting,5.3
Data Scientist,141439,Senior-Level,Freelance,UNITED STATES,Large,Hybrid,"kubernetes, gcp, git, sql",PhD,9,24-06-2024,13-07-2024,Digital Transformation LLC,Retail,6.3
Ai Consultant,125836,Mid-Level,Full-Time,NORWAY,Large,Fully remote,"statistics, kubernetes, spark, gcp",Master,2,27-12-2024,22-02-2025,Predictive Systems,Transportation,10
Machine Learning Researcher,58213,Entry-Level,Full-Time,ISRAEL,Small,Hybrid,"azure, linux, kubernetes",PhD,0,13-04-2025,08-06-2025,Cloud AI Solutions,Telecommunications,5.5
Ml Ops Engineer,82191,Mid-Level,Contract,GERMANY,Medium,on-site,"spark, gcp, hadoop",Bachelor,2,05-08-2024,16-10-2024,Quantum Computing Inc,Media,9.5
Machine Learning Researcher,207975,Executive-Level,Contract,AUSTRALIA,Small,on-site,"sql, azure, computer vision",Master,13,21-02-2025,07-04-2025,Future Systems,Telecommunications,9.9
Computer Vision Engineer,115664,Senior-Level,Part-Time,IRELAND,Medium,on-site,"tensorflow, r, data visualization",Bachelor,7,27-03-2024,15-05-2024,Smart Analytics,Automotive,7.8
Ai Software Engineer,109337,Senior-Level,Part-Time,IRELAND,Medium,Hybrid,"data visualization, pytorch, python, mathematics, git",Associate,9,26-04-2025,13-05-2025,Predictive Systems,Government,8.1
Data Analyst,115386,Senior-Level,Part-Time,FINLAND,Medium,Fully remote,"mlops, statistics, hadoop, sql",Associate,7,02-09-2024,03-11-2024,Smart Analytics,Energy,6.7
Autonomous Systems Engineer,64431,Entry-Level,Full-Time,UNITED KINGDOM,Large,Hybrid,"git, deep learning, python, statistics, tensorflow",Bachelor,1,25-01-2025,25-02-2025,DeepTech Ventures,Automotive,9
Data Engineer,108088,Senior-Level,Freelance,UNITED STATES,Small,Fully remote,"tableau, python, docker, azure",Bachelor,9,07-10-2024,15-12-2024,Smart Analytics,Consulting,8
Ml Ops Engineer,228314,Executive-Level,Full-Time,UNITED KINGDOM,Large,Hybrid,"java, hadoop, sql, statistics, tensorflow",Master,16,18-10-2024,04-12-2024,Cognitive Computing,Telecommunications,6.5
Data Scientist,153260,Senior-Level,Contract,AUSTRALIA,Large,on-site,"mlops, java, nlp",Master,9,02-04-2025,04-05-2025,DataVision Ltd,Education,9.7
Data Scientist,63667,Mid-Level,Contract,ISRAEL,Small,Fully remote,"r, data visualization, sql, nlp",PhD,4,20-03-2025,12-05-2025,Algorithmic Solutions,Energy,7.9
Research Scientist,31185,Mid-Level,Freelance,CHINA,Small,Fully remote,"aws, gcp, nlp, sql, statistics",Associate,3,11-03-2025,07-04-2025,Neural Networks Co,Healthcare,9.2
Machine Learning Engineer,132167,Senior-Level,Part-Time,GERMANY,Medium,Hybrid,"mlops, docker, linux, computer vision",Bachelor,9,04-08-2024,12-10-2024,Quantum Computing Inc,Education,6.2
Ai Research Scientist,223349,Executive-Level,Freelance,JAPAN,Large,Fully remote,"pytorch, mathematics, tensorflow",Bachelor,11,31-07-2024,27-09-2024,Smart Analytics,Gaming,5.9
Ai Architect,26957,Entry-Level,Contract,INDIA,Medium,Fully remote,"azure, computer vision, statistics",Bachelor,1,23-03-2025,17-04-2025,DataVision Ltd,Transportation,9.5
Ai Software Engineer,93564,Mid-Level,Contract,SWEDEN,Small,on-site,"pytorch, docker, data visualization, scala, computer vision",Associate,2,25-03-2025,13-04-2025,Advanced Robotics,Transportation,9.7
Computer Vision Engineer,113846,Senior-Level,Part-Time,FRANCE,Small,Fully remote,"sql, git, r, hadoop, docker",Associate,6,02-09-2024,30-10-2024,DataVision Ltd,Energy,7.8
Ai Specialist,147580,Executive-Level,Freelance,FRANCE,Medium,on-site,"linux, deep learning, hadoop, kubernetes, docker",PhD,17,13-11-2024,10-01-2025,Cloud AI Solutions,Telecommunications,5.9
Data Engineer,50514,Entry-Level,Part-Time,CANADA,Medium,Fully remote,"sql, pytorch, tableau, nlp",PhD,1,04-08-2024,28-08-2024,Cognitive Computing,Automotive,9
Ai Product Manager,94158,Mid-Level,Freelance,GERMANY,Medium,Fully remote,"pytorch, r, scala",Master,2,01-09-2024,10-10-2024,Future Systems,Education,5.5
Principal Data Scientist,161009,Executive-Level,Freelance,NETHERLANDS,Medium,Hybrid,"kubernetes, aws, gcp",Associate,19,17-02-2024,17-03-2024,Cognitive Computing,Transportation,7.1
Data Analyst,91911,Executive-Level,Full-Time,INDIA,Large,Fully remote,"pytorch, sql, azure, docker",Associate,15,15-06-2024,15-08-2024,Cloud AI Solutions,Technology,5.9
Ai Specialist,248071,Executive-Level,Freelance,GERMANY,Medium,Hybrid,"kubernetes, r, gcp",Bachelor,15,13-04-2025,29-04-2025,Future Systems,Consulting,7.6
Autonomous Systems Engineer,150204,Senior-Level,Part-Time,GERMANY,Medium,Hybrid,"docker, linux, kubernetes, data visualization",Bachelor,9,18-03-2025,12-04-2025,Neural Networks Co,Transportation,6.3
Ai Product Manager,181517,Senior-Level,Contract,NETHERLANDS,Large,Hybrid,"sql, kubernetes, nlp, mlops",PhD,9,13-08-2024,05-09-2024,TechCorp Inc,Government,8.9
Data Analyst,64573,Entry-Level,Part-Time,FRANCE,Large,Fully remote,"kubernetes, gcp, mathematics, python",Master,1,19-07-2024,30-09-2024,AI Innovations,Government,9.2
Ml Ops Engineer,89332,Mid-Level,Contract,UNITED STATES,Small,Fully remote,"python, tensorflow, deep learning, docker, pytorch",Bachelor,4,20-08-2024,23-10-2024,Predictive Systems,Finance,6
Machine Learning Engineer,118239,Senior-Level,Freelance,SWEDEN,Small,Hybrid,"aws, hadoop, pytorch, statistics, azure",PhD,9,03-08-2024,22-09-2024,Future Systems,Energy,8.1
Ai Specialist,103715,Mid-Level,Full-Time,JAPAN,Small,Hybrid,"python, azure, statistics",Bachelor,4,11-12-2024,20-01-2025,Neural Networks Co,Automotive,9.3
Ai Consultant,151680,Executive-Level,Freelance,AUSTRALIA,Small,Fully remote,"computer vision, aws, kubernetes",Associate,14,20-06-2024,31-07-2024,Cognitive Computing,Manufacturing,6.9
Data Analyst,142589,Senior-Level,Full-Time,NETHERLANDS,Large,on-site,"docker, tableau, kubernetes, data visualization, gcp",Master,8,25-10-2024,11-11-2024,Predictive Systems,Government,6
